,codigo_ibge,latitude,longitude,cidade
0,5000203,-20.4452,-52.879,Agua Clara
1,5000252,-18.3255,-53.7042,Alcinopolis
2,5000609,-23.1058,-55.2253,Amambai
3,5000708,-20.4823,-55.8104,Anastacio
4,5000807,-22.1852,-52.7191,Anaurilandia
5,5000856,-22.1527,-53.7708,Angelica
6,5000906,-22.1927,-55.9517,Antonio Joao
7,5001003,-20.0873,-51.0961,Aparecida Do Taboado
8,5001102,-20.4666,-55.7868,Aquidauana
9,5001243,-22.9385,-55.6334,Aral Moreira
10,5001508,-19.9275,-54.3585,Bandeirantes
11,5001904,-21.7159,-52.4221,Bataguassu
12,5002001,-22.2944,-53.2705,Bataypora
13,5002100,-22.1073,-56.5263,Bela Vista
14,5002159,-20.537,-56.7127,Bodoquena
15,5002209,-21.1261,-56.4836,Bonito
16,5002308,-21.2544,-52.0365,Brasilandia
17,5002407,-22.6368,-54.8209,Caarapo
18,5002605,-19.5347,-54.0431,Camapua
19,5002704,-20.4486,-54.6295,Campo Grande
20,5002803,-22.011,-57.0277,Caracol
21,5002902,-19.1179,-51.7313,Cassilandia
22,5002951,-18.788,-52.6263,Chapadao Do Sul
23,5003108,-19.8243,-54.8281,Corguinho
24,5003157,-23.2724,-55.5278,Coronel Sapucaia
25,5003207,-19.0077,-57.651,Corumba
26,5003256,-18.5432,-53.1287,Costa Rica
27,5003306,-18.5013,-54.751000000000005,Coxim
28,5003454,-22.2763,-54.1682,Deodapolis
29,5003488,-20.6848,-55.2915,Dois Irmaos Do Buriti
30,5003504,-22.0405,-54.6158,Douradina
31,5003702,-22.2231,-54.812,Dourados
32,5003751,-23.7868,-54.2838,Eldorado
33,5003801,-22.3789,-54.5131,Fatima Do Sul
34,5003900,-18.6782,-53.638000000000005,Figueirao
35,5004007,-22.4136,-54.2335,Gloria De Dourados
36,5004106,-21.4583,-56.1117,Guia Lopes Da Laguna
37,5004304,-23.6736,-54.5637,Iguatemi
38,5004403,-19.7277,-51.9281,Inocencia
39,5004502,-22.08,-54.7934,Itapora
40,5004601,-23.4779,-54.187,Itaquirai
41,5004700,-22.3046,-53.8184,Ivinhema
42,5004809,-23.8903,-54.4059,Japora
43,5004908,-20.1386,-54.3996,Jaraguari
44,5005004,-21.4799,-56.1489,Jardim
45,5005103,-22.4806,-54.3079,Jatei
46,5005152,-22.8596,-54.6061,Juti
47,5005202,-19.0089,-57.5973,Ladario
48,5005251,-22.5448,-55.1502,Laguna Carapa
49,5005400,-21.6105,-55.1678,Maracaju
50,5005608,-20.2355,-56.3746,Miranda
51,5005681,-23.9355,-54.281000000000006,Mundo Novo
52,5005707,-23.0618,-54.1995,Navirai
53,5005806,-21.1419,-55.8296,Nioaque
54,5006002,-21.4657,-54.3825,Nova Alvorada Do Sul
55,5006200,-22.238000000000003,-53.3437,Nova Andradina
56,5006259,-22.6693,-53.8601,Novo Horizonte Do Sul
57,5006275,-19.0216,-53.0116,Paraiso Das Aguas
58,5006309,-19.6746,-51.1909,Paranaiba
59,5006358,-23.8911,-55.428999999999995,Paranhos
60,5006408,-18.0996,-54.5507,Pedro Gomes
61,5006606,-22.5296,-55.7203,Ponta Pora
62,5006903,-21.6981,-57.8836,Porto Murtinho
63,5007109,-20.4445,-53.7588,Ribas Do Rio Pardo
64,5007208,-21.8033,-54.5427,Rio Brilhante
65,5007307,-19.447,-54.9859,Rio Negro
66,5007406,-18.9249,-54.8434,Rio Verde De Mato Grosso
67,5007505,-19.9565,-54.8848,Rochedo
68,5007554,-21.3016,-52.8333,Santa Rita Do Pardo
69,5007695,-19.3889,-54.5507,Sao Gabriel Do Oeste
70,5007802,-20.3637,-51.4192,Selviria
71,5007703,-23.9705,-55.0398,Sete Quedas
72,5007901,-20.9302,-54.9692,Sidrolandia
73,5007935,-17.5698,-54.7551,Sonora
74,5007950,-23.636,-55.0141,Tacuru
75,5007976,-22.4898,-53.3519,Taquarussu
76,5008008,-20.4378,-54.8647,Terenos
77,5008305,-20.7849,-51.7007,Tres Lagoas
78,5008404,-22.4098,-54.4415,Vicentina
