,Unnamed: 0,codigo_ibge,nome,latitude,longitude,capital,codigo_uf
0,0,5100102,Acorizal,-15.194,-56.3632,False,51
1,1,5100201,Água Boa,-14.050999999999998,-52.1601,False,51
2,2,5000203,Água Clara,-20.4452,-52.879,False,50
3,3,5000252,Alcinópolis,-18.3255,-53.7042,False,50
4,4,5100250,Alta Floresta,-9.86674,-56.0867,False,51
5,5,5100300,Alto Araguaia,-17.3153,-53.2181,False,51
6,6,5100359,Alto Boa Vista,-11.6732,-51.3883,False,51
7,7,5100409,Alto Garças,-16.9462,-53.5272,False,51
8,8,5100508,Alto Paraguai,-14.5137,-56.4776,False,51
9,9,5100607,Alto Taquari,-17.8241,-53.2792,False,51
10,10,5000609,Amambai,-23.1058,-55.2253,False,50
11,11,5000708,Anastácio,-20.4823,-55.8104,False,50
12,12,5000807,Anaurilândia,-22.1852,-52.7191,False,50
13,13,5000856,Angélica,-22.1527,-53.7708,False,50
14,14,5000906,Antônio João,-22.1927,-55.9517,False,50
15,15,5001003,Aparecida Do Taboado,-20.0873,-51.0961,False,50
16,16,5100805,Apiacás,-9.53981,-57.4587,False,51
17,17,5001102,Aquidauana,-20.4666,-55.7868,False,50
18,18,5101001,Araguaiana,-15.7291,-51.8341,False,51
19,19,5101209,Araguainha,-16.857,-53.0318,False,51
20,20,5001243,Aral Moreira,-22.9385,-55.6334,False,50
21,21,5101258,Araputanga,-15.4641,-58.3425,False,51
22,22,5101308,Arenápolis,-14.4472,-56.8437,False,51
23,23,5101407,Aripuanã,-10.1723,-59.4568,False,51
24,24,5001508,Bandeirantes,-19.9275,-54.3585,False,50
25,25,5101605,Barão De Melgaço,-16.2067,-55.9623,False,51
26,26,5101704,Barra Do Bugres,-15.0702,-57.1878,False,51
27,27,5101803,Barra Do Garças,-15.8804,-52.264,False,51
28,28,5001904,Bataguassu,-21.7159,-52.4221,False,50
29,29,5002001,Batayporã,-22.2944,-53.2705,False,50
30,30,5002100,Bela Vista,-22.1073,-56.5263,False,50
31,31,5002159,Bodoquena,-20.537,-56.7127,False,50
32,32,5101852,Bom Jesus Do Araguaia,-12.1706,-51.5032,False,51
33,33,5002209,Bonito,-21.1261,-56.4836,False,50
34,34,5002308,Brasilândia,-21.2544,-52.0365,False,50
35,35,5101902,Brasnorte,-12.1474,-57.9833,False,51
36,36,5002407,Caarapó,-22.6368,-54.8209,False,50
37,37,5102504,Cáceres,-16.0764,-57.6818,False,51
38,38,5002605,Camapuã,-19.5347,-54.0431,False,50
39,39,5102603,Campinápolis,-14.5162,-52.893,False,51
40,40,5002704,Campo Grande,-20.4486,-54.6295,True,50
41,41,5102637,Campo Novo Do Parecis,-13.6587,-57.8907,False,51
42,42,5102678,Campo Verde,-15.545,-55.1626,False,51
